city,href,store_count,header_text
广州市,https://www.lacoste.com/us/stores/china/广州市?country=china,17.0,17 STORES	Filter by
成都市,https://www.lacoste.com/us/stores/china/成都市?country=china,17.0,17 STORES	Filter by
武汉市,https://www.lacoste.com/us/stores/china/武汉市?country=china,7.0,7 STORES	Filter by
深圳市,https://www.lacoste.com/us/stores/china/深圳市?country=china,21.0,21 STORES	Filter by
湘潭市,https://www.lacoste.com/us/stores/china/湘潭市?country=china,1.0,LACOSTE HUNAN XIANGTAN BUBUGAO SHOPPING CENTER BOUTIQUE
烟台市,https://www.lacoste.com/us/stores/china/烟台市?country=china,1.0,LACOSTE YANTAI ZHENHUA COMMERCIAL BUILDING DEPARTMENT STORE
荆州市,https://www.lacoste.com/us/stores/china/荆州市?country=china,1.0,LACOSTE HUBEI JINZHOU WANDA BOUTIQUE
衡阳市,https://www.lacoste.com/us/stores/china/衡阳市?country=china,1.0,LACOSTE HUNAN HENGYANG JINZHU PLAZA DEPARTMENT STORE
贵阳市,https://www.lacoste.com/us/stores/china/贵阳市?country=china,1.0,LACOSTE L!VE GUIYANG HUNTER CITY PLAZA
郴州市,https://www.lacoste.com/us/stores/china/郴州市?country=china,1.0,LACOSTE HUNAN CHENZHOU YOUA INTERNATIONAL PLAZA DEPARTMENT STORE
长沙市,https://www.lacoste.com/us/stores/china/长沙市?country=china,7.0,7 STORES	Filter by
